"","utm_x","utm_y","poverty","nightlight","water_way","elev","poverty2","soil","HK_positive","HK_examined","TT_positive","TT_examined","Asc_positive","Asc_examined","STH_positive","STH_examined","HK.prev","ASC.prev","TT.prev","prob.none","prob.atleast.one"
"2447",3891189.09785233,-1719552.31764855,0.767993813122293,0.0260380655527115,1.3827691078186,522.544067382812,93.2608636258342,5.31961265547881,0,26,0,26,0,27,0,26,0,0,0,1,0
"2448",3755608.54817998,-1568723.86930398,0.290353613390824,4.85824060440063,1.13473045825958,1072.61047363281,49.0320576289622,4.07765913542943,0,29,0,29,1,29,1,29,0,3.44827586206897,0,-2.44827586206897,3.44827586206897
"2449",3769347.92256021,-1472591.54102278,0.487826551285848,0.000533208250999451,0.757998764514923,1009.82653808594,73.5963846397889,10.5187501525823,0,28,0,28,1,28,1,28,0,3.57142857142857,0,-2.57142857142857,3.57142857142857
"2450",3875060.55673082,-1738994.05798894,0.697342520814203,0.227284103631973,3.07334995269775,423.399353027344,88.3220723001636,4.1774952365146,0,30,0,30,0,30,0,30,0,0,0,1,0
"2451",3922044.51185897,-1758894.98873542,0.570138490580656,0.0423595495522022,0.620098888874054,913.785278320312,79.4330115779532,13.3673043435187,0,29,0,29,5,29,5,29,0,17.2413793103448,0,-16.2413793103448,17.2413793103448
"2452",3863993.05607069,-1737029.16635813,0.709162421047615,0.0560080520808697,1.20311522483826,712.247375488281,89.6512382430484,5.44879756303293,0,30,0,30,0,30,0,30,0,0,0,1,0
"2453",3899812.28966142,-1703055.84188076,0.71473902763075,0.0370959006249905,0.65086418390274,535.810424804688,89.6508953288919,7.05309350808716,0,30,0,30,0,30,0,30,0,0,0,1,0
"2454",3890252.63376798,-1663759.26723041,0.758058090401879,0.00196022447198629,9.29367733001709,742.091125488281,91.8249144283346,7.33851145918542,0,30,0,30,0,30,0,30,0,0,0,1,0
"2455",3853003.72952297,-1741762.79332303,0.728843124645136,0.0143708288669586,0.851167559623718,716.168762207031,91.0946962471779,9.44052945989046,2,30,0,30,3,30,4,30,6.66666666666667,10,0,51,-50
"2456",3868624.03594328,-1694937.75181435,0.684363804416105,0.0247390512377024,8.12582397460938,875.426513671875,89.5919257441742,7.75549152881606,0,30,0,30,9,30,9,30,0,30,0,-29,30
"2457",3774922.27945753,-1477917.63477385,0.462370483260667,0.00733217829838395,2.41477990150452,1067.94299316406,72.4830439465924,8.39091294149102,4,30,0,30,5,30,9,30,13.3333333333333,16.6666666666667,0,193.222222222222,-192.222222222222
"2458",3775005.70228393,-1583297.72037607,0.583239010324497,1.42105424404144,0.131282284855843,1062.9853515625,78.5615141999418,4.48389781588261,2,29,0,29,1,29,3,29,6.89655172413793,3.44827586206897,0,14.436385255648,-13.436385255648
"2459",3736527.00709632,-1301186.656491,0.691921118724262,0.0127930790185928,0.5896977186203,1304.49536132812,86.5545880366823,8.98902393488311,0,30,0,30,0,30,0,30,0,0,0,1,0
