"","ï..Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"6481","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Federal Capital Territory","3789","Amac","36612","AMAC","36612","Takushara","13939","9.3971999999999998","8.5311000000000003","4",NA,NA,"2014",NA,NA,"49","11",0.224489796,NA,NA,"49","0",0,NA,NA,"49","0",0,NA,NA,"49","11",0.224489796,0.224489796,1,0,10916,"","ANGA0378936612"
"6491","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Shanga","36800","Shanga","36800","Takware","15708","4.5727598","11.319244599999999","1",NA,NA,"2014",NA,NA,"51","5",0.098039216,NA,NA,"51","0",0,NA,NA,"51","0",0,NA,NA,"51","5",0.098039216,0.098039216,1,0,11741,"","ANGA0379636800"
"6501","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Birnin Kebbi","36789","Birnin Kebbi","36789","Tarasa","14157","4.1206747999999997","12.464098999999999","2",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,0,1,0,11685,"","ANGA0379636789"
"6512","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Gwandu","36793","Gwandu","36793","Tari","14580","4.4914474999999996","12.408552500000001","3",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,0,1,0,11709,"","ANGA0379636793"
"6521","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Osun","3804","Ola-Oluwa","36963","Ola-Oluwa","36963","Telemu","15514","4.2512809999999996","7.6637642000000001","1",NA,NA,"2014",NA,NA,"51","7",0.137254902,NA,NA,"51","25",0.490196078,NA,NA,"51","0",0,NA,NA,"51","32",0.62745098,0.528461477,1,0,12557,"","ANGA0380436963"
"6531","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Bunza","36790","Bunza","36790","Tilli","14221","3.9750882999999999","12.3375962","1",NA,NA,"2014",NA,NA,"50","8",0.16,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","8",0.16,0.16,1,0,11690,"","ANGA0379636790"
"6541","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Lagos","3799","Ajeromi-Ifeledun","36843","Ajeromi-Ifeledun","36843","Tolu","13868","3.2787177999999999","6.5613771999999999","1",NA,NA,"2014",NA,NA,"51","3",0.058823529,NA,NA,"50","17",0.34,NA,NA,"51","8",0.156862745,NA,NA,"51","20",0.392156863,0.449304694,1,0,12045,"","ANGA0379936843"
"6551","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Yauri","36803","Yauri","36803","Tondi","15990","3.5983558000000002","11.6126626","1",NA,NA,"2014",NA,NA,"50","13",0.26,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","13",0.26,0.26,1,0,11756,"","ANGA0379636803"
"6561","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Toro","36444","Toro","36444","Toro","15831","9.0709315000000004","10.0595845","1",NA,NA,"2014",NA,NA,"50","2",0.04,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","2",0.04,0.04,1,0,10650,"","ANGA0377936444"
"6571","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Warji","36445","Warji","36445","Tudun Alheri","15936","9.7491645810000005","11.17291331","3",NA,NA,"2014",NA,NA,"50","1",0.02,NA,NA,"50","2",0.04,NA,NA,"50","0",0,NA,NA,"50","3",0.06,0.055849057,1,0,10656,"","ANGA0377936445"
