,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
196,Botswana,BWA,BW,Okavango,4306,22.3193484,-19.0158991,2015,52,6,0.115384615,52,7,0.134615385,52,0,0,52,13,0.25,0.221195713
197,Botswana,BWA,BW,Gantsi,4296,21.64376333,-21.703485,2015,22,1,0.045454545,22,0,0,22,0,0,22,1,0.045454545,0.045454545
198,Botswana,BWA,BW,Good Hope,4310,25.44311667,-25.47561167,2015,52,0,0,52,6,0.115384615,52,0,0,52,6,0.115384615,0.115384615
199,Botswana,BWA,BW,Kgalagadi North,4297,21.6027974,-23.413266,2015,49,1,0.020408163,49,0,0,49,0,0,49,1,0.020408163,0.020408163
200,Botswana,BWA,BW,Selebi Phikwe,4293,27.81451667,-21.98705833,2015,50,0,0,50,6,0.12,50,0,0,50,6,0.12,0.12
201,Botswana,BWA,BW,Kgatleng,4299,26.1315544,-24.3893174,2015,50,0,0,50,0,0,50,0,0,50,0,0,0
202,Botswana,BWA,BW,North East,4303,27.6114921,-20.9140415,2015,38,1,0.026315789,38,0,0,38,0,0,38,1,0.026315789,0.026315789
203,Botswana,BWA,BW,Francistown,4302,27.44569333,-21.437085,2015,28,0,0,28,3,0.107142857,28,0,0,28,3,0.107142857,0.107142857
204,Botswana,BWA,BW,Gantsi,4296,22.207054,-22.8554457,2015,50,2,0.04,50,4,0.08,50,0,0,50,5,0.1,0.110188679
205,Botswana,BWA,BW,Chobe,4304,24.5066171,-18.1488558,2015,48,4,0.083333333,48,8,0.166666667,48,15,0.3125,48,20,0.416666667,0.447949423
206,Botswana,BWA,BW,Gantsi,4296,20.8773525,-22.1461799,2015,48,4,0.083333333,48,7,0.145833333,48,0,0,48,10,0.208333333,0.204730084
207,Botswana,BWA,BW,Kgalagadi North,4297,22.7966741,-23.6750115,2015,35,3,0.085714286,35,1,0.028571429,35,0,0,35,3,0.085714286,0.105506353
208,Botswana,BWA,BW,Gantsi,4296,20.6134111,-22.0807872,2015,47,3,0.063829787,47,1,0.021276596,47,0,0,47,4,0.085106383,0.079007832
209,Botswana,BWA,BW,Chobe,4304,25.1569067,-17.798005,2015,50,0,0,50,4,0.08,50,0,0,50,4,0.08,0.08
210,Botswana,BWA,BW,Okavango,4306,21.8493909,-18.3795757,2015,52,8,0.153846154,52,10,0.192307692,52,0,0,52,18,0.346153846,0.298649101
211,Botswana,BWA,BW,Boteti,4291,24.7323061,-21.3661946,2015,43,0,0,43,0,0,43,0,0,43,0,0,0
212,Botswana,BWA,BW,South East,4309,25.852665,-24.87810167,2015,47,0,0,47,0,0,47,0,0,47,0,0,0
213,Botswana,BWA,BW,Jwaneng,4311,24.7238972,-24.6031428,2015,43,0,0,43,0,0,43,0,0,43,0,0,0
214,Botswana,BWA,BW,Mahalapye,4313,23.5073455,-24.7106408,2015,51,0,0,51,0,0,51,0,0,51,0,0,0
215,Botswana,BWA,BW,Gantsi,4296,22.4190608,-22.1198647,2015,34,5,0.147058824,34,0,0,34,0,0,34,5,0.147058824,0.147058824
216,Botswana,BWA,BW,Matsuane,4292,27.14215983,-23.41421948,2015,50,5,0.1,50,1,0.02,50,0,0,50,6,0.12,0.111320755
217,Botswana,BWA,BW,Gantsi,4296,22.4163022,-21.0133072,2015,35,14,0.4,35,0,0,35,0,0,35,14,0.4,0.4
218,Botswana,BWA,BW,Kgalagadi North,4297,21.7963186,-23.9984424,2015,32,1,0.03125,32,2,0.0625,32,0,0,32,2,0.0625,0.086600825
219,Botswana,BWA,BW,Gaborone,4307,25.94402167,-24.60814167,2015,43,0,0,43,0,0,43,0,0,43,0,0,0
220,Botswana,BWA,BW,Kgalagadi North,4297,21.7769813,-24.1084742,2015,68,7,0.102941176,68,5,0.073529412,68,0,0,68,10,0.147058824,0.159340928
221,Botswana,BWA,BW,Kweneng East,4300,25.4680136,-24.4035375,2015,50,0,0,50,1,0.02,50,0,0,50,1,0.02,0.02
